Zeit(0.001 ms),Drehmoment Messsystem 1 (NÂ·m),Winkel Messsystem 1 (°),Drehmoment Motor (NÂ·m),Winkel Motor (°),Drehzahl (U/min),Schritt,Stromstaerke (A),Temperatur (°C)
0,0.00,0,0.37,0,0,1,0.003,40.5
250,0.00,0,0.37,0,0,1,0.002,40.5
500,0.00,0,0.40,0,0,1,0.003,40.5
750,0.00,0,0.40,0,0,1,0.003,40.5
1000,0.01,0,0.40,0,0,1,0.002,40.5
1250,0.00,0,0.40,0,0,1,0.002,40.5
1500,0.00,0,0.45,0,0,1,0.002,40.5
1750,0.00,0,0.45,0,0,1,0.001,40.5
2000,0.00,0,0.45,0,0,1,0.001,40.5
2250,0.00,0,0.45,0,0,1,0.003,40.5
2500,0.00,0,0.46,0,0,1,0.001,40.5
2750,0.00,0,0.46,0,0,1,-0.015,40.5
3000,0.00,0,0.46,0,0,1,-0.035,40.5
3250,0.01,0,0.46,0,1,1,-0.041,40.5
3500,0.01,0,0.51,0,1,1,-0.044,40.5
3750,0.01,0,0.51,0,1,1,-0.046,40.5
4000,0.01,0,0.51,0,1,1,-0.045,40.5
4250,0.01,0,0.52,0,1,1,-0.046,40.5
4500,0.01,0,0.52,0,1,1,-0.054,40.5
4750,0.01,0,0.52,0,1,1,-0.058,40.5
5000,0.01,0,0.52,0,1,1,-0.059,40.5
5250,0.01,0,0.53,0,2,1,-0.057,40.5
5500,0.01,0,0.53,0,2,1,-0.060,40.5
5750,0.00,0,0.53,0,2,1,-0.068,40.5
6000,0.00,0,0.53,0,2,1,-0.071,40.5
6250,0.00,0,0.53,0,3,1,-0.074,40.5
6500,0.00,0,0.53,0,3,1,-0.076,40.5
6750,0.01,0,0.53,0,3,1,-0.076,40.5
7000,0.01,0,0.54,0,4,1,-0.076,40.5
7250,0.01,0,0.54,0,4,1,-0.076,40.5
7500,0.00,0,0.54,0,4,1,-0.082,40.5
7750,0.00,0,0.54,0,4,1,-0.089,40.5
8000,0.00,0,0.54,0,5,1,-0.088,40.5
8250,0.00,0,0.54,0,5,1,-0.093,40.5
8500,0.00,0,0.54,0,5,1,-0.096,40.5
8750,0.00,0,0.54,0,5,1,-0.095,40.5
9000,0.00,0,0.54,0,6,1,-0.095,40.5
9250,0.01,0,0.54,0,6,1,-0.097,40.5
9500,0.01,0,0.54,0,6,1,-0.103,40.5
9750,0.01,0,0.54,0,6,1,-0.107,40.5
10000,0.01,0,0.54,0,8,1,-0.109,40.5
10250,0.00,0,0.54,0,8,1,-0.107,40.5
10500,0.00,1,0.54,0,8,1,-0.109,40.5
10750,0.00,1,0.54,0,9,1,-0.114,40.5
11000,0.00,1,0.54,0,9,1,-0.123,40.5
11250,0.01,1,0.54,0,9,1,-0.126,40.5
11500,0.01,1,0.54,0,9,1,-0.126,40.5
11750,0.01,1,0.54,0,11,1,-0.122,40.5
12000,0.01,1,0.52,0,11,1,-0.124,40.5
12250,0.02,1,0.52,0,11,1,-0.126,40.5
12500,0.02,1,0.52,0,11,1,-0.130,40.5
12750,0.01,1,0.52,0,11,1,-0.132,40.5
13000,0.01,1,0.52,0,11,1,-0.134,40.5
13250,0.01,1,0.52,0,11,1,-0.137,40.5
13500,0.01,1,0.52,0,11,1,-0.135,40.5
13750,0.01,1,0.46,0,13,1,-0.132,40.5
14000,0.01,1,0.46,0,13,1,-0.133,40.5
14250,0.01,1,0.46,0,13,1,-0.138,40.5
14500,0.01,1,0.46,0,13,1,-0.142,40.5
14750,0.01,1,0.42,0,15,1,-0.144,40.5
15000,0.00,1,0.42,0,15,1,-0.143,40.5
15250,0.00,1,0.42,0,15,1,-0.143,40.5
15500,0.00,1,0.42,0,15,1,-0.148,40.5
15750,0.00,1,0.10,0,17,1,-0.149,40.5
16000,0.00,1,0.10,0,17,1,-0.150,40.5
16250,0.00,1,0.10,0,17,1,-0.152,40.5
16500,0.00,1,0.10,0,17,1,-0.156,40.5
16750,0.00,1,0.07,0,19,1,-0.158,40.5
17000,0.01,1,0.07,0,19,1,-0.156,40.5
17250,0.01,1,0.07,1,19,1,-0.154,40.5
17500,0.01,1,0.07,1,21,1,-0.159,40.5
17750,0.01,1,0.07,1,21,1,-0.156,40.5
18000,0.01,1,0.07,1,21,1,-0.155,40.5
18250,0.03,1,0.07,1,21,1,-0.162,40.5
18500,0.04,1,0.07,1,23,1,-0.170,40.5
18750,0.04,1,0.07,1,23,1,-0.172,40.5
19000,0.04,1,0.07,1,23,1,-0.173,40.5
19250,0.04,1,0.07,1,23,1,-0.166,40.5
19500,0.04,1,0.07,1,26,1,-0.164,40.5
19750,0.06,1,0.07,1,26,1,-0.163,40.5
20000,0.06,1,0.07,1,26,1,-0.166,40.5
20250,0.06,1,0.07,1,26,1,-0.166,40.5
20500,0.04,1,0.07,1,29,1,-0.166,40.5
20750,0.04,1,0.07,1,29,1,-0.163,40.5
21000,0.04,1,0.07,1,29,1,-0.161,40.5
21250,0.04,1,0.07,1,31,1,-0.157,40.5
21500,0.04,1,0.06,1,31,1,-0.147,40.5
21750,0.03,1,0.06,1,31,1,-0.133,40.5
22000,0.05,2,0.06,2,31,1,-0.122,40.5
22250,0.05,2,0.07,2,34,1,-0.116,40.5
22500,0.05,2,0.07,2,34,1,-0.117,40.5
22750,0.05,2,0.07,2,34,1,-0.117,40.5
23000,0.04,2,0.07,2,34,1,-0.108,40.5
23250,0.04,2,0.07,2,36,1,-0.091,40.5
23500,0.04,2,0.10,2,36,1,-0.079,40.5
23750,0.04,2,0.10,2,36,1,-0.067,40.5
24000,0.04,2,0.10,2,36,1,-0.070,40.5
24250,0.04,2,0.15,2,39,1,-0.075,40.5
24500,0.04,2,0.15,2,39,1,-0.073,40.5
24750,0.05,2,0.15,2,39,1,-0.066,40.5
25000,0.05,2,0.15,2,39,1,-0.054,40.5
25250,0.05,2,0.15,2,40,1,-0.040,40.5
25500,0.05,2,0.15,2,40,1,-0.038,40.5
25750,0.05,3,0.15,3,40,1,-0.042,40.5
26000,0.05,3,0.15,3,40,1,-0.048,40.5
26250,0.05,3,0.19,3,40,1,-0.049,40.5
26500,0.04,3,0.19,3,40,1,-0.042,40.5
26750,0.04,3,0.19,3,40,1,-0.030,40.5
27000,0.04,3,0.22,3,40,1,-0.024,40.5
27250,0.04,3,0.22,3,40,1,-0.024,40.5
27500,0.04,3,0.22,3,40,1,-0.029,40.5
27750,0.04,3,0.22,3,40,1,-0.034,40.5
28000,0.04,3,0.24,3,40,1,-0.041,40.5
28250,0.04,3,0.24,3,40,1,-0.042,40.5
28500,0.04,3,0.24,3,40,1,-0.033,40.5
28750,0.03,3,0.24,3,40,1,-0.026,40.5
29000,0.03,3,0.23,3,40,1,-0.032,40.5
29250,0.03,3,0.23,3,40,1,-0.040,40.5
29500,0.03,4,0.23,3,40,1,-0.048,40.5
29750,0.03,4,0.23,3,40,1,-0.051,40.5
30000,0.03,4,0.19,3,40,1,-0.046,40.5
30250,0.03,4,0.19,3,40,1,-0.038,40.5
30500,0.03,4,0.19,4,40,1,-0.037,40.5
30750,0.03,4,0.19,4,40,1,-0.039,40.5
31000,0.02,4,0.19,4,40,1,-0.044,40.5
31250,0.02,4,0.19,4,40,1,-0.049,40.5
31500,0.02,4,0.19,4,40,1,-0.055,40.5
31750,0.02,4,0.19,4,40,1,-0.059,40.5
32000,0.02,4,0.19,4,40,1,-0.056,40.5
32250,0.03,4,0.19,4,40,1,-0.048,40.5
32500,0.03,4,0.19,4,40,1,-0.041,40.5
32750,0.03,4,0.19,4,40,1,-0.042,40.5
33000,0.02,4,0.19,4,40,1,-0.050,40.5
33250,0.02,4,0.19,4,40,1,-0.056,40.5
33500,0.02,5,0.19,4,40,1,-0.057,40.5
33750,0.02,5,0.19,4,40,1,-0.047,40.5
34000,0.02,5,0.19,4,40,1,-0.038,40.5
34250,0.03,5,0.19,5,40,1,-0.038,40.5
34500,0.03,5,0.19,5,40,1,-0.042,40.5
34750,0.03,5,0.21,5,40,1,-0.051,40.5
35000,0.03,5,0.21,5,40,1,-0.058,40.5
35250,0.03,5,0.21,5,40,1,-0.061,40.5
35500,0.03,5,0.21,5,40,1,-0.056,40.5
35750,0.03,5,0.21,5,40,1,-0.048,40.5
36000,0.03,5,0.21,5,40,1,-0.040,40.5
36250,0.03,5,0.21,5,40,1,-0.041,40.5
36500,0.03,5,0.21,5,40,1,-0.049,40.5
36750,0.03,5,0.21,5,40,1,-0.056,40.5
37000,0.02,5,0.21,5,40,1,-0.061,40.5
37250,0.02,6,0.21,5,40,1,-0.061,40.5
37500,0.02,6,0.21,5,40,1,-0.051,40.5
37750,0.03,6,0.21,5,40,1,-0.043,40.5
38000,0.03,6,0.21,6,40,1,-0.045,40.5
38250,0.04,6,0.21,6,40,1,-0.051,40.5
38500,0.04,6,0.21,6,40,1,-0.056,40.5
38750,0.04,6,0.21,6,40,1,-0.060,40.5
39000,0.03,6,0.21,6,40,1,-0.061,40.5
39250,0.03,6,0.21,6,40,1,-0.058,40.5
39500,0.03,6,0.21,6,40,1,-0.049,40.5
39750,0.03,6,0.21,6,40,1,-0.044,40.5
40000,0.03,6,0.21,6,40,1,-0.045,40.5
40250,0.03,6,0.21,6,40,1,-0.053,40.5
40500,0.03,6,0.21,6,40,1,-0.057,40.5
40750,0.03,6,0.21,6,40,1,-0.055,40.5
41000,0.03,6,0.21,6,40,1,-0.050,40.5
41250,0.03,6,0.21,6,40,1,-0.042,40.5
41500,0.03,6,0.21,6,40,1,-0.040,40.5
41750,0.02,6,0.21,6,40,1,-0.043,40.5
42000,0.02,7,0.21,7,40,1,-0.048,40.5
42250,0.02,7,0.21,7,40,1,-0.051,40.5
42500,0.03,7,0.21,7,40,1,-0.051,40.5
42750,0.03,7,0.21,7,40,1,-0.049,40.5
43000,0.03,7,0.21,7,40,1,-0.044,40.5
43250,0.03,7,0.21,7,40,1,-0.040,40.5
43500,0.02,7,0.21,7,40,1,-0.042,40.5
43750,0.02,7,0.21,7,40,1,-0.048,40.5
44000,0.02,7,0.21,7,40,1,-0.054,40.5
44250,0.02,7,0.21,7,40,1,-0.055,40.5
44500,0.02,7,0.21,7,40,1,-0.052,40.5
44750,0.03,7,0.21,7,40,1,-0.042,40.5
45000,0.03,7,0.21,7,40,1,-0.037,40.5
45250,0.03,7,0.21,7,40,1,-0.034,40.5
45500,0.03,7,0.21,7,40,1,-0.041,40.5
45750,0.03,8,0.21,7,40,1,-0.054,40.5
46000,0.02,8,0.21,7,40,1,-0.061,40.5
46250,0.02,8,0.21,7,40,1,-0.057,40.5
46500,0.02,8,0.21,7,40,1,-0.044,40.5
46750,0.03,8,0.21,8,40,1,-0.035,40.5
47000,0.04,8,0.19,8,40,1,-0.041,40.5
47250,0.04,8,0.19,8,40,1,-0.049,40.5
47500,0.04,8,0.19,8,40,1,-0.055,40.5
47750,0.04,8,0.19,8,40,1,-0.054,40.5
48000,0.02,8,0.17,8,40,1,-0.048,40.5
48250,0.01,8,0.17,8,40,1,-0.042,40.5
48500,0.01,8,0.17,8,40,1,-0.037,40.5
48750,0.01,8,0.17,8,40,1,-0.038,40.5
49000,0.02,8,0.19,8,40,1,-0.042,40.5
49250,0.02,8,0.19,8,40,1,-0.047,40.5
49500,0.03,8,0.19,8,40,1,-0.051,40.5
49750,0.03,8,0.19,8,40,1,-0.056,40.5
50000,0.03,8,0.19,8,40,1,-0.055,40.5
